language,repository,year,interval,NLOC,CCN
c++,mongo,2016,8,1245471,2.6
c++,mongo,2016,12,1263361,2.6
c++,mongo,2017,4,1282343,2.6
c++,mongo,2017,8,1387909,2.6
c++,mongo,2017,12,1401999,2.6
c++,mongo,2018,4,1434620,2.5
c++,mongo,2018,8,1431696,2.5
c++,mongo,2018,12,1531620,2.5
c++,mongo,2019,4,1691926,2.5
c++,mongo,2019,8,1730115,2.5
c++,mongo,2019,12,1761774,2.5
c++,mysql-server,2015,4,1165969,4.0
c++,mysql-server,2015,8,1191733,4.0
c++,mysql-server,2015,12,1572672,4.0
c++,mysql-server,2016,4,1749464,3.7
c++,mysql-server,2016,8,1329857,3.7
c++,mysql-server,2016,12,1353798,3.7
c++,mysql-server,2017,4,2219503,3.7
c++,mysql-server,2017,8,2310379,3.6
c++,mysql-server,2017,12,2669979,3.8
c++,mysql-server,2018,4,2441542,3.8
c++,mysql-server,2018,8,2488467,3.8
c++,mysql-server,2018,12,2494122,3.6
c++,mysql-server,2019,4,2541276,3.6
c++,mysql-server,2019,8,2553388,3.6
c++,mysql-server,2019,12,2586601,3.6
c++,opencv,2015,4,445722,3.9
c++,opencv,2015,8,484553,3.9
c++,opencv,2015,12,454674,4.3
c++,opencv,2016,4,459222,4.2
c++,opencv,2016,8,485369,3.9
c++,opencv,2016,12,496311,4.3
c++,opencv,2017,4,498738,4.3
c++,opencv,2017,8,681317,3.1
c++,opencv,2017,12,693087,3.1
c++,opencv,2018,4,683169,3.3
c++,opencv,2018,8,693715,3.3
c++,opencv,2018,12,702624,3.2
c++,opencv,2019,4,700623,3.2
c++,opencv,2019,8,722916,3.2
c++,opencv,2019,12,738668,3.2
c++,pcl,2015,4,402175,3.9
c++,pcl,2015,8,403391,3.9
c++,pcl,2015,12,406490,3.9
c++,pcl,2016,4,406497,3.9
c++,pcl,2016,8,406589,3.9
c++,pcl,2016,12,406596,3.9
c++,pcl,2017,4,406662,3.9
c++,pcl,2017,8,406897,3.9
c++,pcl,2017,12,408671,3.9
c++,pcl,2018,4,409738,3.9
c++,pcl,2018,8,410246,3.9
c++,pcl,2018,12,408257,3.8
c++,pcl,2019,4,407305,3.8
c++,pcl,2019,8,406722,3.8
c++,pcl,2019,12,405603,3.8
c++,rdkit,2015,4,126221,3.8
c++,rdkit,2015,8,129821,3.8
c++,rdkit,2015,12,141704,3.9
c++,rdkit,2016,4,145789,3.9
c++,rdkit,2016,8,151097,3.8
c++,rdkit,2016,12,161519,3.9
c++,rdkit,2017,4,165754,3.9
c++,rdkit,2017,8,171699,3.9
c++,rdkit,2017,12,175176,3.9
c++,rdkit,2018,4,178385,3.9
c++,rdkit,2018,8,181385,3.9
c++,rdkit,2018,12,190817,3.8
c++,rdkit,2019,4,197728,3.8
c++,rdkit,2019,8,200740,3.8
c++,rdkit,2019,12,204756,3.8
c++,rocksdb,2015,4,118082,2.3
c++,rocksdb,2015,8,137029,2.3
c++,rocksdb,2015,12,152702,2.3
c++,rocksdb,2016,4,159594,2.3
c++,rocksdb,2016,8,177734,2.3
c++,rocksdb,2016,12,188186,2.3
c++,rocksdb,2017,4,194420,2.4
c++,rocksdb,2017,8,209042,2.4
c++,rocksdb,2017,12,217652,2.5
c++,rocksdb,2018,4,228014,2.5
c++,rocksdb,2018,8,241536,2.5
c++,rocksdb,2018,12,252000,2.6
c++,rocksdb,2019,4,255305,2.6
c++,rocksdb,2019,8,276171,2.6
c++,rocksdb,2019,12,290465,2.6
c++,seastar,2015,4,12317,2.0
c++,seastar,2015,8,13908,2.0
c++,seastar,2015,12,15898,2.0
c++,seastar,2016,4,17423,2.0
c++,seastar,2016,8,19718,2.1
c++,seastar,2016,12,20862,2.1
c++,seastar,2017,4,23060,2.1
c++,seastar,2017,8,23490,2.1
c++,seastar,2017,12,25336,2.2
c++,seastar,2018,4,26690,2.1
c++,seastar,2018,8,27455,2.1
c++,seastar,2018,12,29936,2.1
c++,seastar,2019,4,31956,2.1
c++,seastar,2019,8,32677,2.1
c++,seastar,2019,12,34072,2.1
c++,solidity,2015,4,9675,1.3
c++,solidity,2015,8,26634,2.0
c++,solidity,2015,12,31877,2.1
c++,solidity,2016,4,39123,2.3
c++,solidity,2016,8,43029,2.3
c++,solidity,2016,12,48317,2.3
c++,solidity,2017,4,53204,2.3
c++,solidity,2017,8,61341,2.3
c++,solidity,2017,12,66752,2.3
c++,solidity,2018,4,72545,2.4
c++,solidity,2018,8,68749,2.5
c++,solidity,2018,12,73803,2.6
c++,solidity,2019,4,86922,2.6
c++,solidity,2019,8,97697,2.6
c++,solidity,2019,12,104083,2.7
c++,tesseract,2015,4,144604,3.9
c++,tesseract,2015,8,143046,3.9
c++,tesseract,2015,12,142957,3.9
c++,tesseract,2016,4,143195,3.9
c++,tesseract,2016,8,143035,3.9
c++,tesseract,2016,12,142832,3.9
c++,tesseract,2017,4,141511,3.9
c++,tesseract,2017,8,142445,3.9
c++,tesseract,2017,12,142960,3.9
c++,tesseract,2018,4,142882,3.9
c++,tesseract,2018,8,151291,3.8
c++,tesseract,2018,12,152025,3.8
c++,tesseract,2019,4,154584,3.8
c++,tesseract,2019,8,147103,4.0
c++,tesseract,2019,12,154978,4.0
c++,TileDB,2015,4,26184,2.2
c++,TileDB,2015,8,30980,2.5
c++,TileDB,2015,12,20360,1.9
c++,TileDB,2016,4,14325,4.5
c++,TileDB,2016,8,17079,4.7
c++,TileDB,2016,12,22966,4.6
c++,TileDB,2017,4,24589,4.7
c++,TileDB,2017,8,27141,2.8
c++,TileDB,2017,12,32929,2.9
c++,TileDB,2018,4,27447,2.8
c++,TileDB,2018,8,44123,2.8
c++,TileDB,2018,12,53122,2.8
c++,TileDB,2019,4,56568,2.8
c++,TileDB,2019,8,56658,2.8
c++,TileDB,2019,12,56658,2.8
c++,TrinityCore,2015,4,562904,3.4
c++,TrinityCore,2015,8,570870,3.3
c++,TrinityCore,2015,12,573699,3.3
c++,TrinityCore,2016,4,758693,2.9
c++,TrinityCore,2016,8,771990,2.9
c++,TrinityCore,2016,12,778307,2.9
c++,TrinityCore,2017,4,809357,2.9
c++,TrinityCore,2017,8,816784,2.8
c++,TrinityCore,2017,12,823074,2.8
c++,TrinityCore,2018,4,828490,2.8
c++,TrinityCore,2018,8,828993,2.8
c++,TrinityCore,2018,12,918261,2.7
c++,TrinityCore,2019,4,918474,2.7
c++,TrinityCore,2019,8,929109,2.7
c++,TrinityCore,2019,12,933837,2.7
c++,xbmc,2015,4,697997,3.8
c++,xbmc,2015,8,731489,3.8
c++,xbmc,2015,12,645999,3.7
c++,xbmc,2016,4,613260,3.6
c++,xbmc,2016,8,616115,3.6
c++,xbmc,2016,12,622833,3.6
c++,xbmc,2017,4,607527,3.6
c++,xbmc,2017,8,627929,3.5
c++,xbmc,2017,12,639090,3.5
c++,xbmc,2018,4,643679,3.5
c++,xbmc,2018,8,650695,3.5
c++,xbmc,2018,12,653816,3.5
c++,xbmc,2019,4,658293,3.5
c++,xbmc,2019,8,649702,3.5
c++,xbmc,2019,12,653906,3.5
java,dagger,2015,4,21691,1.9
java,dagger,2015,8,25918,1.8
java,dagger,2015,12,34195,1.7
java,dagger,2016,4,36563,1.6
java,dagger,2016,8,38189,1.6
java,dagger,2016,12,44488,1.6
java,dagger,2017,4,47159,1.6
java,dagger,2017,8,52763,1.5
java,dagger,2017,12,56355,1.5
java,dagger,2018,4,60236,1.5
java,dagger,2018,8,64781,1.5
java,dagger,2018,12,72484,1.5
java,dagger,2019,4,78191,1.5
java,dagger,2019,8,68514,1.4
java,dagger,2019,12,70035,1.4
java,dbeaver,2015,4,183999,2.2
java,dbeaver,2015,8,187606,2.2
java,dbeaver,2015,12,198208,2.2
java,dbeaver,2016,4,208083,2.3
java,dbeaver,2016,8,215339,2.3
java,dbeaver,2016,12,231095,2.3
java,dbeaver,2017,4,244895,2.3
java,dbeaver,2017,8,251290,2.3
java,dbeaver,2017,12,266047,2.3
java,dbeaver,2018,4,277875,2.3
java,dbeaver,2018,8,289315,2.3
java,dbeaver,2018,12,306245,2.3
java,dbeaver,2019,4,330751,2.3
java,dbeaver,2019,8,345575,2.3
java,dbeaver,2019,12,362633,2.3
java,dubbo,2015,4,97479,2.7
java,dubbo,2015,8,97479,2.7
java,dubbo,2015,12,97479,2.7
java,dubbo,2016,4,97496,2.7
java,dubbo,2016,8,97495,2.7
java,dubbo,2016,12,97495,2.7
java,dubbo,2017,4,97492,2.7
